attr8800,attr8801,attr8802,attr8803,attr8804,attr8805,attr8806,attr8807,attr8808,attr8809,attr8810,attr8811,attr8812,attr8813,attr8814,attr8815,attr8816,attr8817,attr8818,attr8819,attr8820,attr8821,attr8822,attr8823,attr8824,attr8825,attr8826,attr8827,attr8828,attr8829,attr8830,attr8831,attr8832,attr8833,attr8834,attr8835,attr8836,attr8837,attr8838,attr8839,attr8840
58.5387,53.7124,58.5387,53.6963,58.3984,53.7018,58.4755,53.5882,57.5979,53.5882,57.5979,53.0169,57.6307,53.025,58.099,53.3797,58.4402,53.1619,58.4402,53.5789,58.5661,53.9183,58.5722,53.7166,58.2889,53.7821,58.2889,53.7821,58.2918,53.9275,58.2918,53.9275,57.5272,53.1819,58.2844,53.6049,58.5894,54.0583,58.5747,54.2208,0
58.3853,54.1558,57.5401,52.839,57.6875,53.2454,57.8985,53.4468,58.0174,53.3588,58.21,53.2998,57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,0
57.5401,52.839,57.6875,53.2454,57.8985,53.4468,58.0174,53.3588,58.21,53.2998,57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,57.8225,53.6708,0
57.6875,53.2454,57.8985,53.4468,58.0174,53.3588,58.21,53.2998,57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,57.8225,53.6708,57.2346,53.15,0
57.8985,53.4468,58.0174,53.3588,58.21,53.2998,57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,57.8225,53.6708,57.2346,53.15,57.2346,53.2974,0
58.0174,53.3588,58.21,53.2998,57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,57.8225,53.6708,57.2346,53.15,57.2346,53.2974,57.7683,53.8957,0
58.21,53.2998,57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,57.8225,53.6708,57.2346,53.15,57.2346,53.2974,57.7683,53.8957,58.2251,53.6751,0
57.876,53.2858,57.9491,53.2847,57.9491,53.2233,57.9979,53.1885,57.695,53.2152,57.3949,52.7039,58.1433,53.0587,57.8253,53.5094,57.8253,53.4261,58.0168,53.5733,58.0852,53.6106,57.6957,53.4621,57.6957,53.4621,57.8225,53.6708,57.8225,53.6708,57.2346,53.15,57.2346,53.2974,57.7683,53.8957,58.2251,53.6751,58.2637,53.8568,0
57.1964,51.91,57.1964,51.91,57.1352,52.1186,56.9541,51.8396,56.8522,51.7344,56.8522,51.7085,56.883,51.744,56.0714,51.082,56.8753,51.0991,56.6304,51.9003,56.6304,51.9003,56.939,51.7175,56.9313,52.1716,56.6685,52.1011,56.8599,52.1709,56.8599,52.4747,56.972,52.5105,56.0701,51.8842,56.0701,51.8842,56.4845,52.493,0
57.1964,51.91,57.1352,52.1186,56.9541,51.8396,56.8522,51.7344,56.8522,51.7085,56.883,51.744,56.0714,51.082,56.8753,51.0991,56.6304,51.9003,56.6304,51.9003,56.939,51.7175,56.9313,52.1716,56.6685,52.1011,56.8599,52.1709,56.8599,52.4747,56.972,52.5105,56.0701,51.8842,56.0701,51.8842,56.4845,52.493,56.4845,52.493,0
57.1352,52.1186,56.9541,51.8396,56.8522,51.7344,56.8522,51.7085,56.883,51.744,56.0714,51.082,56.8753,51.0991,56.6304,51.9003,56.6304,51.9003,56.939,51.7175,56.9313,52.1716,56.6685,52.1011,56.8599,52.1709,56.8599,52.4747,56.972,52.5105,56.0701,51.8842,56.0701,51.8842,56.4845,52.493,56.4845,52.493,56.4845,52.493,0
56.9541,51.8396,56.8522,51.7344,56.8522,51.7085,56.883,51.744,56.0714,51.082,56.8753,51.0991,56.6304,51.9003,56.6304,51.9003,56.939,51.7175,56.9313,52.1716,56.6685,52.1011,56.8599,52.1709,56.8599,52.4747,56.972,52.5105,56.0701,51.8842,56.0701,51.8842,56.4845,52.493,56.4845,52.493,56.4845,52.493,56.6041,52.9104,0
