attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24
6470,5,5548,6,5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,1
5548,6,5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,1
5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,1
4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,1
4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,1
3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,1
4723,11,4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,1
4902,12,4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,1
4808,1,4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,0
4797,2,4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,0
4820,3,4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,1
4911,4,5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,0
5269,5,4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,0
4989,6,5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,0
5443,7,6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,0
6970,8,6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,1
6486,9,6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,0
6902,10,6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,0
6845,11,6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,0
6960,12,6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,0
6227,1,6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,0
6622,2,6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,0
6674,3,5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,1
5878,4,4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,0
4927,5,4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,1
4720,6,5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,0
5306,7,6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,1
6677,8,5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,1
5552,9,4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,1
4702,10,4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,1
4779,11,5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,0
5286,12,4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,0
4783,1,4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,0
4142,2,4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,0
4914,3,4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,0
4094,4,4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,0
4764,5,4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,0
4627,6,5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,1
