@relation trainingData

@attribute attr13200 numeric
@attribute attr13201 numeric
@attribute attr13202 numeric
@attribute attr13203 numeric
@attribute attr13204 numeric
@attribute attr13205 numeric
@attribute attr13206 numeric
@attribute attr13207 numeric
@attribute attr13208 numeric
@attribute attr13209 numeric
@attribute attr13210 numeric
@attribute attr13211 numeric
@attribute attr13212 numeric
@attribute attr13213 numeric
@attribute attr13214 numeric
@attribute attr13215 numeric
@attribute attr13216 numeric
@attribute attr13217 numeric
@attribute attr13218 numeric
@attribute attr13219 numeric
@attribute attr13220 numeric
@attribute attr13221 numeric
@attribute attr13222 numeric
@attribute attr13223 numeric
@attribute attr13224 numeric
@attribute attr13225 numeric
@attribute attr13226 numeric
@attribute attr13227 numeric
@attribute attr13228 numeric
@attribute attr13229 numeric
@attribute attr13230 numeric
@attribute attr13231 numeric
@attribute attr13232 numeric
@attribute attr13233 numeric
@attribute attr13234 numeric
@attribute attr13235 numeric
@attribute attr13236 numeric
@attribute attr13237 numeric
@attribute attr13238 numeric
@attribute attr13239 numeric
@attribute attr13240 numeric
@attribute attr13241 numeric
@attribute attr13242 numeric
@attribute attr13243 numeric
@attribute attr13244 numeric
@attribute attr13245 numeric
@attribute attr13246 numeric
@attribute attr13247 numeric
@attribute attr13248 numeric
@attribute attr13249 numeric
@attribute attr13250 numeric
@attribute attr13251 numeric
@attribute attr13252 numeric
@attribute attr13253 numeric
@attribute attr13254 numeric
@attribute attr13255 numeric
@attribute attr13256 numeric
@attribute attr13257 numeric
@attribute attr13258 numeric
@attribute attr13259 numeric
@attribute attr13260 numeric

@data
158,58,52,125,58,52,129,59,52,1004,59,52,472,58,52,269,58,52,161,58,52,164,58,53,768,58,53,244,58,53,130,58,52,128,58,52,153,59,53,779,59,53,772,59,53,441,59,53,371,59,53,151,58,53,595,58,52,194,59,52,0
125,58,52,129,59,52,1004,59,52,472,58,52,269,58,52,161,58,52,164,58,53,768,58,53,244,58,53,130,58,52,128,58,52,153,59,53,779,59,53,772,59,53,441,59,53,371,59,53,151,58,53,595,58,52,194,59,52,183,59,52,0
129,59,52,1004,59,52,472,58,52,269,58,52,161,58,52,164,58,53,768,58,53,244,58,53,130,58,52,128,58,52,153,59,53,779,59,53,772,59,53,441,59,53,371,59,53,151,58,53,595,58,52,194,59,52,183,59,52,124,59,52,0
542,58,53,305,59,53,163,58,54,138,58,54,119,58,54,117,59,54,600,59,54,550,58,54,341,58,54,207,58,54,447,58,53,316,58,53,155,58,53,158,58,53,171,58,54,163,59,54,854,59,54,760,58,54,361,58,54,385,58,54,0
305,59,53,163,58,54,138,58,54,119,58,54,117,59,54,600,59,54,550,58,54,341,58,54,207,58,54,447,58,53,316,58,53,155,58,53,158,58,53,171,58,54,163,59,54,854,59,54,760,58,54,361,58,54,385,58,54,473,58,54,0
163,58,54,138,58,54,119,58,54,117,59,54,600,59,54,550,58,54,341,58,54,207,58,54,447,58,53,316,58,53,155,58,53,158,58,53,171,58,54,163,59,54,854,59,54,760,58,54,361,58,54,385,58,54,473,58,54,355,58,53,0
138,58,54,119,58,54,117,59,54,600,59,54,550,58,54,341,58,54,207,58,54,447,58,53,316,58,53,155,58,53,158,58,53,171,58,54,163,59,54,854,59,54,760,58,54,361,58,54,385,58,54,473,58,54,355,58,53,214,58,54,0
119,58,54,117,59,54,600,59,54,550,58,54,341,58,54,207,58,54,447,58,53,316,58,53,155,58,53,158,58,53,171,58,54,163,59,54,854,59,54,760,58,54,361,58,54,385,58,54,473,58,54,355,58,53,214,58,54,153,59,54,0
117,59,54,600,59,54,550,58,54,341,58,54,207,58,54,447,58,53,316,58,53,155,58,53,158,58,53,171,58,54,163,59,54,854,59,54,760,58,54,361,58,54,385,58,54,473,58,54,355,58,53,214,58,54,153,59,54,124,59,54,0
263,58,54,233,58,53,157,58,53,126,58,53,129,58,53,126,58,53,211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,0
233,58,53,157,58,53,126,58,53,129,58,53,126,58,53,211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,415,58,54,0
157,58,53,126,58,53,129,58,53,126,58,53,211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,415,58,54,410,57,53,0
126,58,53,129,58,53,126,58,53,211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,415,58,54,410,57,53,165,57,53,0
129,58,53,126,58,53,211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,415,58,54,410,57,53,165,57,53,157,58,54,0
126,58,53,211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,415,58,54,410,57,53,165,57,53,157,58,54,152,58,54,0
211,58,53,836,58,53,521,58,53,207,58,53,283,58,53,253,57,53,143,58,53,122,58,54,137,58,53,122,58,54,126,58,54,1108,58,53,736,58,53,444,58,54,415,58,54,410,57,53,165,57,53,157,58,54,152,58,54,124,58,54,0
130,57,52,111,57,52,107,57,52,520,57,52,678,57,52,326,57,52,219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,0
111,57,52,107,57,52,520,57,52,678,57,52,326,57,52,219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,0
107,57,52,520,57,52,678,57,52,326,57,52,219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,0
520,57,52,678,57,52,326,57,52,219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,0
678,57,52,326,57,52,219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,392,57,53,0
326,57,52,219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,392,57,53,489,57,53,0
219,57,52,311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,392,57,53,489,57,53,165,57,53,0
