@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,20520,161,25061,12,4,17675,150,21658,1,1,0
20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,20520,161,25061,12,4,17675,150,21658,1,1,8233,58,8744,2,1,0
21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,20520,161,25061,12,4,17675,150,21658,1,1,8233,58,8744,2,1,9032,62,9672,3,1,0
21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,20520,161,25061,12,4,17675,150,21658,1,1,8233,58,8744,2,1,9032,62,9672,3,1,8220,60,9360,4,2,0
20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,20520,161,25061,12,4,17675,150,21658,1,1,8233,58,8744,2,1,9032,62,9672,3,1,8220,60,9360,4,2,8563,62,9672,5,2,0
15026,182,25665,1,1,14330,168,23491,2,1,19652,185,25508,3,1,20149,174,23050,4,2,21635,186,23566,5,2,21644,180,23501,6,2,22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,0
14330,168,23491,2,1,19652,185,25508,3,1,20149,174,23050,4,2,21635,186,23566,5,2,21644,180,23501,6,2,22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,0
19652,185,25508,3,1,20149,174,23050,4,2,21635,186,23566,5,2,21644,180,23501,6,2,22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,1
20149,174,23050,4,2,21635,186,23566,5,2,21644,180,23501,6,2,22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,1
21635,186,23566,5,2,21644,180,23501,6,2,22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,1
21644,180,23501,6,2,22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,1
22422,184,24201,7,3,24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,1
24404,190,27359,8,3,22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,1
22292,180,24763,9,3,19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,1
19911,186,25533,10,4,18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,0
18844,182,26164,11,4,17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,0
17743,174,24968,12,4,15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,0
15139,185,26685,1,1,15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,0
15205,174,24744,2,1,19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,0
19516,180,25938,3,1,20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,1
20186,180,27589,4,2,24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,19775,186,32566,3,1,1
24232,184,28995,5,2,24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,19775,186,32566,3,1,21485,180,27902,4,2,1
24784,180,28250,6,2,25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,19775,186,32566,3,1,21485,180,27902,4,2,26934,231,35363,5,2,1
25960,187,29570,7,3,25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,19775,186,32566,3,1,21485,180,27902,4,2,26934,231,35363,5,2,26235,239,36105,6,2,1
25326,185,29030,8,3,23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,19775,186,32566,3,1,21485,180,27902,4,2,26934,231,35363,5,2,26235,239,36105,6,2,29500,248,37586,7,3,1
23614,179,28795,9,3,23644,186,30527,10,4,19086,180,29899,11,4,19128,175,28363,12,4,16579,180,29348,1,1,14978,152,26492,2,1,19775,186,32566,3,1,21485,180,27902,4,2,26934,231,35363,5,2,26235,239,36105,6,2,29500,248,37586,7,3,30308,248,37875,8,3,0
