@relation data50in

@attribute T1 numeric
@attribute T2 numeric
@attribute T3 numeric
@attribute T4 numeric
@attribute T5 numeric
@attribute T6 numeric
@attribute T7 numeric
@attribute T8 numeric
@attribute T9 numeric
@attribute T10 numeric
@attribute T11 numeric
@attribute T12 numeric
@attribute T13 numeric
@attribute T14 numeric
@attribute T15 numeric
@attribute T16 numeric
@attribute T17 numeric
@attribute T18 numeric
@attribute T19 numeric
@attribute T20 numeric
@attribute T21 numeric
@attribute T22 numeric
@attribute T23 numeric
@attribute T24 numeric
@attribute T25 numeric
@attribute T26 numeric
@attribute T27 numeric
@attribute T28 numeric
@attribute T29 numeric
@attribute T30 numeric
@attribute T31 numeric
@attribute T32 numeric
@attribute T33 numeric
@attribute T34 numeric
@attribute T35 numeric
@attribute T36 numeric
@attribute T37 numeric
@attribute T38 numeric
@attribute T39 numeric
@attribute T40 numeric
@attribute T41 numeric
@attribute T42 numeric
@attribute T43 numeric
@attribute T44 numeric
@attribute T45 numeric
@attribute T46 numeric
@attribute T47 numeric
@attribute T48 numeric
@attribute T49 numeric
@attribute T50 numeric
@attribute RegisterRT numeric

@data
14.2977,14.2977,14.4913,14.5582,14.5464,14.7206,14.7541,14.8117,14.8644,14.9506,15.0059,15.0059,15.0703,15.2185,15.2662,15.2622,15.4065,15.3614,15.3319,15.3319,15.3949,15.4116,15.4927,15.4927,15.5481,15.6292,15.624,15.6522,15.8643,15.9197,15.8943,15.9277,15.9779,16.0559,16.1339,16.1452,0,16.1841,16.2538,16.3597,16.3542,16.3877,16.3849,16.5105,16.544,16.4239,16.5495,16.5607,16.558,16.3822,2
16.63755,16.6306,16.6778,16.5667,16.6223,16.4249,16.4082,16.4055,16.4167,16.4945,16.5611,16.6472,16.6472,16.6222,16.5666,16.7222,16.69165,16.6611,16.6444,16.522,16.4134,16.4498,16.5193,16.5388,16.6361,16.5972,16.6167,16.6445,16.7305,16.6389,16.7361,16.7278,16.7014,16.675,16.6278,16.5249,0,16.48035,16.4358,16.4221,16.4027,16.4249,16.4249,16.4388,16.4249,16,16.48745,16.4749,16.5222,16.4639,2
16.4722,16.4527,16.5528,16,16.6472,16.575,16.5862,16.3806,16.3639,16.3806,16.4194,16.4388,6.0215,6.1546,6.3034,6.3433,6.4608,6.5582,6.6085,6.6085,6.7427,6.8757,6.992,7.2087,7.3105,7.4757,7.4543,7.4329,5,7.4341,7.5516,7.6058,7.802,7.9839,8.02585,8.0678,0,8.1503,8.3166,8.5288,8.8028,8.9507,9.0208,9.1488,9.1488,9.2509,9.4106,9.5126,9.7087,9.7606,2
14.3697,14.4993,14.6194,14.8833,14.9101,14.9101,14.9387,14.9605,15.068,15.2761,15.3123,15.2579,15.2864,15.2864,15.3226,15.4156,15.5164,15.5036,15.5036,15.5851,15.6744,15.6523,15.7647,15.8319,15.8514,15.8514,15.961,15.9355,15.9805,15.9106,16.0786,16.0786,16.0927,16.0927,16.0282,16.0255,0,16,16.04065,16.0813,16.213,16.2244,16.2943,16.2662,16.174,16.1155,16.1155,16.1464,16.2584,16.2584,3
16.1463,16.1743,16.1995,16.269,16.383,16.3609,16.3858,16.4137,16.4137,16.4498,16.5138,16.4107,16.4468,16.4162,16.4969,16.4315,16.3661,16.3439,16.3858,16.4079,16.4887,16.536,16.6055,16.6055,16.5498,16.5943,16.7641,16.7502,16.7558,16.7558,16.8365,16.8226,16.7837,16.7809,16.7642,16.8338,0,16.8338,16.8449,16.8087,16.8115,16.6583,16.6277,16.6889,16.6166,16.6166,16.6416,16.6444,16.4214,16.3907,3
14.9816,14.9958,42750,15.1414,15.2134,15.1196,15.2083,15.3795,15.2882,15.1981,15.1981,15.2123,15.1814,6.2856,6.4354,6.5392,6.6723,6.6935,6.8601,7.01765,7.1752,7.4422,7.4807,7.6136,7.6949,7.7787,7.9269,7.95405,7.9812,8.1811,8.2803,8.3641,8.4757,8.5973,8.6811,8.7984,0,8.8714,9.0665,9.1991,9.2462,9.3499,9.4672,9.5764,9.5896,9.6028,9.8306,9.9933,10.0788,10.1894,3
14.8253,14.878,14.9498,15.0786,15.1211,15.1596,15.188,15.19635,15.2047,15.0602,15.0937,15.1013,15.0611,15.0545,15.0621,15.12915,15.1962,15.2375,15.2141,15.3523,15.4104,15.4104,15.4776,15.5846,15.6711,15.755,15.808,15.84025,15.8725,16.057,16.1691,16.0879,16.0825,16.0262,16.1242,16.1242,0,16.1404,16.1686,16.1599,16.1908,16.2103,16.2017,16.2017,16.1372,16.0471,16.078,16.2298,16.3248,16.3697,3
16.081,16.05185,16.0227,16.0368,16.2153,16.2487,16.2067,16.1792,16.1905,16.2115,16.2325,16.2045,16.3214,16.3967,16.288,16.2573,16.1846,16.274,16.274,16.1317,15.8943,15.9338,15.9277,15.8722,15.9866,16.0508,16.0508,16.1344,16.1652,16.1484,16.3102,16.4912,16.5887,16.597,16.597,16.4995,0,16.5078,16.5803,16.5386,16.5246,16.5246,16.3992,16.3992,16.3603,16.3269,16.3436,16.3825,16.4132,16.4049,3
15.3305,15.3614,15.3898,15.3898,15.4451,15.4232,15.4284,15.4451,15.4812,15.4696,15.4026,15.4026,15.3808,15.3331,8.5007,8.5356,8.5762,8.6964,8.8747,9.0025,9.1046,9.2037,9.25555,9.3074,9.4064,9.6028,9.6412,9.8575,9.9933,10.1124,10.1777,10.1777,10.3084,10.3454,10.604,10.7383,0,10.9341,11.0627,11.0608,11.0589,11.0366,11.1223,11.3907,11.5081,11.5623,11.5811,11.5811,11.6966,11.8584,3
15.9953,16.2266,16.5052,16.5052,16.4885,16.6444,16.6694,16.7001,16.73905,16.778,16.6277,16.5749,16.4468,16.3773,16.3661,16.3661,16.4356,16.391,16.3743,16.34225,16.3102,16.5052,16.4356,16.4468,16.3521,16.3494,16.4496,16.45795,16.4663,16.4997,16.4857,16.4912,18.1971,19.5608,21.0059,21.7081,0,22.4103,23.8103,25.1049,26.0635,27.5367,30.2043,31.6624,32.36285,33.0633,34.3692,35.8096,37.2489,40.0473,3
50.2424,48.7792,45.99,44.5253,43.0799,43.0799,41.6277,40.2114,38.86,36.1625,34.9612,33.6833,33.6833,32.4519,29.8408,28.6446,28.6446,27.3765,26.033,24.7923,22.5072,21.89155,21.2759,20.0705,18.9343,18.8705,18.7804,18.5992,18.5551,18.5551,18.5719,18.3708,18.316,18.316,18.2123,18.2626,0,18.2428,18.1361,18.2336,18.2641,18.261,18.261,18.2778,18.8139,18.7364,18.7134,18.6253,18.7154,18.6568,3
18.6194,18.5526,18.5526,17.998,18.0117,17.9646,17.9449,17.9085,17.8583,17.7915,17.7915,17.7748,17.7384,17.7915,17.7336,9.5573,9.5733,9.5893,9.5805,9.7569,9.8154,9.8523,9.9983,10.0671,10.06625,10.0654,10.151,10.2418,10.3778,10.4335,10.5157,10.5847,10.6165,10.6744,10.7323,10.932,0,10.9693,11.0383,11.1055,10.9449,11.0756,11.1391,11.2026,11.3984,11.5494,11.5533,11.7153,11.7509,11.826,3
15.8301,15.88315,15.9362,15.8938,15.9583,16.0343,16.0316,16.1074,16.1074,16.10875,16.1101,15.9651,15.9228,15.9228,15.906,15.8584,15.9228,15.9228,16.049,15.9423,16.0987,16.1664,16.1945,16.1052,16.1052,16.1052,16.1782,16.0302,15.9685,15.9236,15.87195,15.8203,15.6606,15.7277,15.6915,15.6245,0,15.6334,15.6334,15.6334,15.4748,15.2789,15.1861,15.2079,15.1383,15.15,15.1617,15.1139,15.0176,14.8979,3
14.3884,14.3884,14.3693,14.3048,14.2738,14.3382,14.2571,14.3096,14.3096,14.1853,14.171,14.1686,14.1519,14.2188,14.0515,14.0515,14.1352,14.1064,14.1208,14.1399,14.1232,14.1399,14.1566,14.2546,14.3192,14.2451,14.4171,14.4482,14.3813,14.3144,14.4147,14.3621,14.3597,14.2953,14.3454,14.3502,0,14.3502,14.2809,14.269,14.073,14.2714,14.1255,14.1734,14.19965,14.2259,14.0131,14.0322,14.0154,14.0777,3
