BonoCPUUsage,BonoLatencyVariance,RegisterRT
29.2497,96.412,1
29.4475,96.412,1
29.3969,96.412,1
29.382,96.809,1
29.3313,96.809,1
29.2328,96.809,2
29.2308,96.809,1
29.2139,97.15,2
29.197,97.491,1
29.2089,97.491,1
29.2019,97.491,2
29.1899,97.491,1
29.2357,97.491,1
29.2258,115.91,2
29.3124,115.91,2
29.3432,115.91,1
29.3919,115.91,1
29.3392,115.91,2
29.2547,370.925,2
29.2864,370.925,1
29.2914,370.925,2
29.1321,370.925,1
29.16455,370.925,1
29.197,370.925,1
29.2019,120.214,2
29.2955,120.214,1
29.2237,120.214,1
29.1998,120.214,1
29.2477,121.528,1
29.204,121.528,1
29.1385,121.528,1
29.2082,121.528,1
29.0992,121.528,1
29.2025,115.363,1
29.2601,115.363,2
29.1182,115.363,1
29.1877,115.363,1
29.0263,115.363,1
29.0888,104.787,1
29.1175,104.787,2
29.1779,104.787,2
29.1586,104.787,1
29.1393,104.787,1
29.1225,94.288,1
29.1758,94.288,1
29.1927,94.288,1
29.2214,94.288,2
29.0725,94.288,1
29.0121,100.477,1
29.0627,100.477,1
29.1519,100.477,1
29.1947,100.477,1
29.3385,100.477,2
29.3959,89.879,1
29.4147,89.879,1
29.3643,89.879,1
29.4671,89.879,2
29.7261,89.879,1
29.69995,182.3075,2
29.6738,274.736,1
30.195,98.344,2
30.3229,98.344,2
30.6709,98.344,2
30.91,98.344,1
31.1756,317.5835,2
31.1756,536.823,1
31.3035,536.823,1
31.4094,536.823,2
31.6107,536.823,2
31.7282,175.652,2
31.8281,175.652,1
32.0087,175.652,1
32.2153,175.652,2
32.2992,175.652,2
32.4506,258.097,1
32.4841,258.097,1
32.7635,258.097,2
32.9873,258.097,2
33.0429,258.097,2
33.2216,267.431,2
33.2272,267.431,1
33.2551,267.431,2
33.3222,267.431,1
33.406,267.431,2
33.406,267.431,2
33.5515,241.238,2
33.7137,241.238,2
33.9654,241.238,2
34.1386,241.238,2
34.1951,126.729,2
34.2785,126.729,2
34.4191,126.729,2
34.6044,126.729,2
34.7271,126.729,2
34.711,126.29,2
34.638,126.29,2
34.8665,126.29,1
34.9614,126.29,1
34.9832,126.29,1
34.9883,145.024,2
35.1066,145.024,2
34.9849,145.024,2
34.98235,145.024,1
34.9798,145.024,2
34.9681,2763.193,1
34.8689,2763.193,2
35.047,2763.193,1
35.0748,2763.193,2
35.0538,2763.193,2
35.1923,153.751,2
35.136,153.751,1
35.1292,153.751,2
35.0697,153.751,1
35.1033,153.751,2
35.1547,127.741,2
35.221,127.741,2
35.211,127.741,2
35.1833,127.741,1
35.3673,127.741,2
35.2911,161.185,2
35.3025,161.185,2
35.3139,161.185,2
35.1447,161.185,2
35.0573,161.185,2
35.0809,150.491,2
35.0202,150.491,2
34.9755,150.491,2
35.0877,150.491,1
34.9865,150.491,1
35.0422,104.234,1
35.0868,104.234,2
35.178,104.234,2
35.2136,104.234,1
35.2524,104.234,2
35.2246,321.153,2
35.17185,321.153,1
35.1191,321.153,2
35.1461,321.153,1
35.314,321.153,2
35.163,210.11,1
35.1968,210.11,1
35.3259,210.11,2
35.3378,210.11,1
35.1977,210.11,1
35.3597,180.582,2
35.3259,180.582,2
35.2474,180.582,2
35.2743,180.582,1
35.158,180.582,2
35.1402,159.9,2
35.06715,159.9,1
34.9941,159.9,2
34.8032,159.9,1
34.8208,159.9,1
34.8759,168.298,1
35.0836,168.298,2
35.043,168.298,1
35.0211,168.298,2
35.1164,168.298,1
35.0853,126.685,2
34.9045,126.685,2
35.1182,126.685,1
35.0616,126.685,2
35.1064,126.685,2
35.0693,391.184,2
35.2931,391.184,2
35.3597,391.184,1
35.3597,391.184,2
35.2633,391.184,1
35.2584,133.729,1
35.4272,133.729,2
35.4234,133.729,2
35.5961,133.729,2
35.5732,133.729,2
35.5432,223.085,2
35.5541,223.085,2
35.7155,223.085,2
35.7432,223.085,2
35.6553,223.085,2
35.6649,195.198,2
35.6601,195.198,1
35.7985,195.198,1
35.7155,195.198,2
35.7155,195.198,2
35.7769,114.883,2
35.8118,114.883,1
35.8611,114.883,2
35.836,114.883,1
35.83,114.883,2
35.6938,118.19,1
35.742,118.19,1
35.5769,118.19,2
35.5024,118.19,1
35.5758,118.19,2
35.6361,158.391,2
35.5447,158.391,1
35.7347,158.391,1
35.6686,158.391,2
35.6295,158.391,1
35.5904,158.391,2
35.5807,128.111,1
35.3675,128.111,2
35.5301,128.111,1
35.4746,128.111,2
35.424,150.143,2
35.3615,150.143,1
35.3278,150.143,1
35.2277,150.143,1
35.2723,150.143,2
35.2941,297.861,2
35.4991,297.861,1
35.5398,297.861,2
35.4676,297.861,1
35.46025,297.861,2
35.4529,297.861,2
35.2792,167.545,2
35.2474,167.545,2
35.3428,167.545,2
35.2802,167.545,1
35.417,141.097,1
35.4757,141.097,2
