@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,0
27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,0
23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,0
21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,0
28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,21317,274,32600,2,1,1
25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,21317,274,32600,2,1,27708,332,40625,3,1,1
34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,21317,274,32600,2,1,27708,332,40625,3,1,32538,360,44365,4,2,1
34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,21317,274,32600,2,1,27708,332,40625,3,1,32538,360,44365,4,2,36895,385,48500,5,2,1
33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,21317,274,32600,2,1,27708,332,40625,3,1,32538,360,44365,4,2,36895,385,48500,5,2,34319,369,46406,6,2,1
34195,362,42959,8,3,34859,374,45685,9,3,34301,383,45456,10,4,26994,320,37404,11,4,25877,291,34899,12,4,22619,270,36568,1,1,21317,274,32600,2,1,27708,332,40625,3,1,32538,360,44365,4,2,36895,385,48500,5,2,34319,369,46406,6,2,33465,374,44384,7,3,1
